SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Jabez Howes,,Sutton & Co,Ship,1877,"Newburyport, MA",1/1/1884,1884,1,1,Sandy Hook NNE .75 mi,Stranded in storm,,,218.8,40.1,26,1648,1580,"San Francisco, CA","San Francisco, CA","New York, NY",Freeman,29,,0,100000,200000,,Sandy Hook,N,N,#15966; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Florida (1841),,,Bark,,,9/21/1841,1841,9,21,Brigantine Shoal,Grounded,,,,,,,,"New Bedford, MA","Canton, China","New York, NY",Faucon,,,0,,200000,"Tea, rhubarb, cassia, silk",,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Queen Louise,,,Steamer,1912,"Glasgow, Scotland",2/7/14,1914,2,7,Squan Inlet LSS N .25 mi,Stranded,Steel,England,404.9,53,27.1,4879,3139,"Glasgow, Scotland","Swansea, Wales","New York, NY",D P McDonald,39,,,300000,183000,Tinplate,Squan Beach #8,N,Y,#133028; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
City of Richmond,,Imman SS Co,Steamer,1873,"Glasgow, Scotland",2/16/1883,1883,2,16,Sandy Hook LSS SE 1.75 mi,Stranded in fog,Iron,England,440.8,43.5,34.1,4780,2957,"Liverpool, England","Liverpool, England","New York, NY",Condron,425,,0,700000,180000,General,Sandy Hook & Spermaceti Cove,N,N,#69286; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Norwood,,E Roy,Ship,1891,"Maitland, NS",10/17/1895,1895,10,17,Long Beach LSS NE 1.75 mi,Stranded,Wood,Canada,235.3,42.7,24,1795,1597,"Maitland, NS","Chochin, India","New York, NY",Alex Douglas,21,2,0,38000,160000,Coconut oil,Long Beach & Ship Bottom,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hornsee,,Funch Edge & Co,Steamer,1905,"Rostock, Germany",5/23/08,1908,5,23,Egg Harbor S 4 mi,Grounded,Steel,Germany,291.1,44,16.6,1186,1196,"Lubeck, Germany",Cuba,"New York, NY",,25,,0,600000,150000,Sugar,Little Beach LSS,N,"N ",Refloated,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Andes (1894),,Atlas SS Co,Steamer,1865,"Glasgow, Scotland",1/22/1894,1894,1,22,Little Egg Harbor S 4 mi,Stranded,Iron,England,294,32.5,27.1,1869,1197,"Kingston, England","Sabanilla, Equador","New York, NY",Williams,42,,0,150000,150000,General,Litle Beach & Little Egg,N,N,#5426; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Underwriter,,Kermit &Carew,Passenger,1850,"New York, NY",4/18/1854,1854,4,18,Squan Inlet S 4.5 mi,Stranded in storm,Wood,US,103,37.2,30.5,1168,,"New York, NY","Liverpool, England","New York, NY",Bird,,640,0,85000,150000,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Flying Dutchman,,,Clipper ship,1852,"New York, NY",2/25/1858,1858,2,25,Brigantine Beach,Stranded,Wood,,190,38.6,21.6,1257,,"New York, NY","San Francisco, CA","New York, NY",Hubbard,,,0,50000,150000,Wheat & hides,,Y,N,Broke up; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clara Brookman,,H D Brookman,Schooner,1853,"Bath, ME",9/15/1857,1857,9,15,Squan Inlet S 4.5 mi,Stranded and broke up,Wood,US,,,,1424,,"Bath, ME","Liverpool, England","New York, NY",,5,,4,55000,140000,,,Y,N,Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
Manitoba,,,Steamer,1887,"West Hartford, CT",11/18/1895,1895,11,18,Long Beach LSS NE 1.75 mi,Grounded,,,275,37,19.2,2127,1386,"London, England","Buenos Aries, Arg","New York, NY",Wellington,33,,0,48000,136610,General,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Russland,,Red Star Line/Voenerbeck,Passenger,1872,"Dundee, Scotland",3/17/1877,1877,3,17,"Long Branch, NJ","Struck sunken ""Adonis""",Steel,Belgium,345,37.2,26.8,2538,1669,"Liverpool, England","Antwerp, Belgium","New York, NY",Jesse deHorsey,82,125,0,300000,125000,General,Monmouth Beach #4,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Irrawaddy,,,Steamer,1873,"Dumbarton, England",11/9/1895,1895,11,9,Deal LSS S .75 mi,Grounded in fog,Steel,England,350.8,36.3,27.1,2622,2480,"Glasgow, Scotland","Trinidad, BWI","New York, NY",Beyer,50,14,0,175000,125000,"Asphalt, cocoa, sugar",Deal,N,Y,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ontario,Full Rigged Clipper,"Grinnell, Minturn & Co",Clipper ship,1854,"New Castle, ME",3/8/1876,1876,3,8,Little Egg Harbor Inlet N 2 mi,Grounded,Wood,US,198.7,39.7,27.3,1544,,"New York, NY","London, England","New York, NY",Francis Patterson,27,,0,60000,125000,General cargo,Bonds #22,Y,N,#19049; Most caargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Antilla,,R C Elken,Bark,1890,"Kings County, NB",3/29/02,1902,3,29,Long Beach LSS NE .5 mi,Stranded,Wood,Canada,145.8,33.3,12.7,466,442,"St John, NB, Canada ","Montevideo, Uraguay","New York, NY",J A Reed,9,,0,11000,124495,Hides & wool,Long Beach & Ship Bottom,Y,N,#96948; Ship lost; cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Parkfield,,W & Rwrights,Sailing ship,1872,"St Johns, NS",2/4/1883,1883,2,4,Little Egg Harbor S 2 mi,Stranded in fog,,England,200.5,39.6,24,1379,,"Liverpool, England","Calcutta, India","New York, NY",Wm Anderson,24,,0,25000,120000,"Hides, linseed , Jute",Little Egg Harbor #23,Y,N,#69259; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lottie Klotts,,Endicott & Klotts,Schooner,1865,"Mays Landing, NJ",3/2/1868,1868,3,2,Pecks Beach,Stranded,,,,,12,449,,"Mays Landing, NJ",Caribbean (Cuba),"New York, NY",Thomas Endicott,,,,,102000,Sugar,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cherokee (1906),,Clyde SS Co,Steamer,1886,"Philadelphia, PA",1/12/06,1906,1,12,Brigantine Shoal,Grounded in fog,,,264,43,18.8,2556,1966,"New York, NY","Santo Domingo, Dom Rep","New York, NY",Archibald,56,,0,200000,100000,General,South Brigantine,N,Y,#126391; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hildur,,R J Olsen,Steamer,1897,"Bergen, Norway",2/22/1899,1899,2,22,Ship Bottom N .25 mi,Grounded,,Norway,216.3,31.5,15.3,966,594,"Bergen, Norway",Curacao,"New York, NY",Kusaus,14,,0,60000,100000,"Coffee, hides, lumber",Ship Bottom,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Turpie,,,Steamer,1881,"Newcastle, England",10/25/1899,1899,10,25,Brigantine Shoal,Stranded in fog,Iron,England,270.8,34.7,23,1732,,"North Shields, England","Palermo, Sicily","New York, NY",Wishart,20,,0,50000,100000,"Sulphur, fruit, oil",,N,N,#84859; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
E S Newman,,R P Buck,Schooner,,,2/21/1877,1877,2,21,Cape May Coxs Shoal,Stranded in fog,,,133,31.4,10.1,330,,"New York, NY","Matanzas, Cuba","New York, NY",Newman,10,,0,25000,100000,584 hogshead sugar,Cape May #38 & #39,N,N,#8870; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Umberto Primo,,,Bark,1878,"Cassano, Italy",3/14/1891,1891,3,14,Sandy Hook Romer Shoal,Stranded,Wood,Italy,150.6,30.3,17.9,534,509,Castellammare de Stabia. Italy,"Rosario, Argentina","New York, NY",Canzanio,12,,0,20000,100000,"Hides, wool",Sandy Hook & Spermaceti Cove,,N,#1196,,"New York, NY",ROOFTOP,40.714269,-74.005973
